time_period,location,rainfall,mean_temperature,humidity
2025-W48,Itsandra-Hamanvou,21.2,28.65,72.0
2025-W49,Itsandra-Hamanvou,2.2,29.3,69.6
2025-W50,Itsandra-Hamanvou,39.6,29.81,71.2
2025-W51,Itsandra-Hamanvou,0.0,29.51,66.4
2025-W52,Itsandra-Hamanvou,8.8,29.86,72.5
2025-W27,Mitsamiouli-Mboudé,10.7,25.89,68.7
2025-W28,Mitsamiouli-Mboudé,16.5,25.96,71.4
2025-W29,Mitsamiouli-Mboudé,0.6,25.64,58.4
2025-W30,Mitsamiouli-Mboudé,7.1,25.17,67.1
2025-W31,Mitsamiouli-Mboudé,0.0,25.24,62.3
2025-W32,Mitsamiouli-Mboudé,42.0,25.17,75.6
2025-W33,Mitsamiouli-Mboudé,6.5,25.04,75.7
2025-W34,Mitsamiouli-Mboudé,0.0,25.28,71.9
2025-W35,Mitsamiouli-Mboudé,0.1,26.95,69.8
2025-W36,Mitsamiouli-Mboudé,0.4,24.85,75.4
2025-W37,Mitsamiouli-Mboudé,9.1,24.44,71.8
2025-W38,Mitsamiouli-Mboudé,1.0,25.65,68.5
2025-W39,Mitsamiouli-Mboudé,5.6,26.29,71.8
2025-W40,Mitsamiouli-Mboudé,34.1,24.29,73.6
2025-W41,Mitsamiouli-Mboudé,10.4,25.39,69.8
2025-W42,Mitsamiouli-Mboudé,2.1,25.84,62.1
2025-W43,Mitsamiouli-Mboudé,2.4,27.56,62.9
2025-W44,Mitsamiouli-Mboudé,24.7,28.04,59.7
2025-W45,Mitsamiouli-Mboudé,31.4,28.81,67.1
2025-W46,Mitsamiouli-Mboudé,0.3,28.07,68.9
2025-W47,Mitsamiouli-Mboudé,75.9,27.57,62.2
2025-W48,Mitsamiouli-Mboudé,27.1,28.71,64.6
2025-W49,Mitsamiouli-Mboudé,31.1,28.88,75.1
2025-W50,Mitsamiouli-Mboudé,25.6,28.16,65.1
2025-W51,Mitsamiouli-Mboudé,0.0,29.69,70.1
2025-W52,Mitsamiouli-Mboudé,20.8,28.5,68.0
2025-W27,Moroni-Bambao,0.4,25.86,62.0
2025-W28,Moroni-Bambao,5.6,25.49,68.4
2025-W29,Moroni-Bambao,15.0,25.13,60.4
2025-W30,Moroni-Bambao,55.0,24.19,71.7
2025-W31,Moroni-Bambao,18.0,24.04,64.9
2025-W32,Moroni-Bambao,18.1,23.35,75.8
2025-W33,Moroni-Bambao,27.3,24.61,76.3
2025-W34,Moroni-Bambao,0.0,24.52,68.5
2025-W35,Moroni-Bambao,0.0,24.68,70.7
2025-W36,Moroni-Bambao,8.9,25.53,77.0
2025-W37,Moroni-Bambao,0.0,25.41,78.0
2025-W38,Moroni-Bambao,33.3,26.02,77.6
2025-W39,Moroni-Bambao,0.8,27.17,72.9
2025-W40,Moroni-Bambao,36.9,25.62,82.7
2025-W41,Moroni-Bambao,99.2,26.17,78.0
2025-W42,Moroni-Bambao,0.0,26.55,67.4
2025-W43,Moroni-Bambao,5.7,26.85,74.6
2025-W44,Moroni-Bambao,26.3,28.07,58.0
2025-W45,Moroni-Bambao,12.6,27.09,68.5
2025-W46,Moroni-Bambao,4.7,27.57,64.7
2025-W47,Moroni-Bambao,58.0,28.04,57.1
2025-W48,Moroni-Bambao,18.6,26.83,77.5
2025-W49,Moroni-Bambao,27.8,27.84,80.3
2025-W50,Moroni-Bambao,116.0,28.36,84.5
2025-W51,Moroni-Bambao,0.2,28.47,76.6
2025-W52,Moroni-Bambao,40.5,29.06,81.7
